课程代码,课程名称,学分,所属模块,开课学期,先修课,专业,年级
A2041580,智能计算与体系结构,2.0,必修课,2026秋,,计算机科学与技术菁英班,2024
A2042240,计算机能力测评A,6.0,必修课,2027春,,计算机科学与技术菁英班,2024
A1100015,形势与政策,1.0,必修课,"2024秋,2026春,2026秋,2027秋",,计算机科学与技术（拔尖创新班）,2024
A1100041,中国近现代史纲要,3.0,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A1100022,思想道德与法治,3.0,必修课,2025春,,计算机科学与技术（拔尖创新班）,2024
A1100080,国家安全教育,1.0,必修课,2025春,,计算机科学与技术（拔尖创新班）,2024
A1100061,思想政治理论课实践教学,2.0,必修课,2025春,,计算机科学与技术（拔尖创新班）,2024
A1100052,毛泽东思想和中国特色社 会主义理论体系概论,2.0,必修课,2025秋,,计算机科学与技术（拔尖创新班）,2024
A1100071,习近平新时代中国特色社 会主义思想概论,3.0,必修课,2025秋,,计算机科学与技术（拔尖创新班）,2024
A1100032,马克思主义基本原理,3.0,必修课,2026春,,计算机科学与技术（拔尖创新班）,2024
A1000050,军事训练,2.0,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A1090013,大学体育1（上）,0.5,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A1170010,军事理论,2.0,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A1090014,大学体育1（下）,0.5,必修课,2025春,,计算机科学与技术（拔尖创新班）,2024
A1090023,大学体育2（上）,0.5,必修课,2025秋,,计算机科学与技术（拔尖创新班）,2024
A1090024,大学体育2（下）,0.5,必修课,2026春,,计算机科学与技术（拔尖创新班）,2024
A2052150,工程英语1,1.0,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A2052200,理解当代中国大学英语1,2.0,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A2052201,理解当代中国大学英语2,2.0,必修课,2025春,,计算机科学与技术（拔尖创新班）,2024
A2150261,工程英语2,1.0,必修课,2025春,,计算机科学与技术（拔尖创新班）,2024
A2052210,新工科大学英语,2.0,必修课,2025秋,,计算机科学与技术（拔尖创新班）,2024
A1000020,校史校情和校纪校规教育,0.5,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A100003D,新生研讨课/专业概论,0.5,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A1170060,大学生职业生涯规划1,1.0,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A1170080,大学生心理健康教育,2.0,必修课,2025春,,计算机科学与技术（拔尖创新班）,2024
A1170070,大学生职业生涯规划2,1.0,必修课,2027春,,计算机科学与技术（拔尖创新班）,2024
A2111170,数学分析(I),5.0,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A2111580,高等代数与解析几何(I),5.0,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A2111581,高等代数与解析几何(II),5.0,必修课,2025春,,计算机科学与技术（拔尖创新班）,2024
A2111171,数学分析(II),6.0,必修课,2025春,,计算机科学与技术（拔尖创新班）,2024
A2111172,数学分析(III),4.0,必修课,2025秋,,计算机科学与技术（拔尖创新班）,2024
A1040040,C语言程序设计,3.0,必修课,2024秋,,计算机科学与技术（拔尖创新班）,2024
A2040360,面向对象程序设计-C++,3.0,必修课,2025秋,,计算机科学与技术（拔尖创新班）,2024
A2041130,数据结构A,4.0,必修课,2025秋,,计算机科学与技术（拔尖创新班）,2024
A2042140,计算机组成原理A,3.5,必修课,2026春,,计算机科学与技术（拔尖创新班）,2024
A2040100,数据库原理(双语),4.0,必修课,2026春,,计算机科学与技术（拔尖创新班）,2024
A2040511,算法分析与设计C,2.0,必修课,2026春,,计算机科学与技术（拔尖创新班）,2024
A2040030,操作系统,3.0,必修课,2026秋,,计算机科学与技术（拔尖创新班）,2024
A2040050,计算机网络B,3.0,必修课,2026秋,,计算机科学与技术（拔尖创新班）,2024
A2042131,离散数学,2.0,必修课,2025秋,,计算机科学与技术（拔尖创新班）,2024
A1110130,随机数学（含概率论、数理统计、 随机过程）,3.5,必修课,2026春,,计算机科学与技术（拔尖创新班）,2024
A2111810,微分方程建模与计算,3.0,必修课,2026秋,,计算机科学与技术（拔尖创新班）,2024
A1040120,大数据导论,1.0,选修课,2025秋,,计算机科学与技术（拔尖创新班）,2024
A2040501,数据挖掘基础B,2.0,选修课,2026春,,计算机科学与技术（拔尖创新班）,2024
A2041110,机器学习模型与算法,3.0,选修课,2026秋,,计算机科学与技术（拔尖创新班）,2024
A2040490,数据可视化技术,2.0,选修课,2026秋,,计算机科学与技术（拔尖创新班）,2024
A2041090,自然语言处理,2.0,选修课,2027春,,计算机科学与技术（拔尖创新班）,2024
